data/cr2020-05-01-114719_raspi41GB.txt
raspi41GB
Core data - After 530.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 531.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 532.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 533.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 534.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 535.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 536.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 537.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 538.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 539.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 541.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 542.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
